participant,img,selected,time,group,condition,item,trial,type
784848ef36a059884752e86bd5592185,sub-dalmatian-2.jpg,TRUE,5858,B,contrast,animal,critical,sub
784848ef36a059884752e86bd5592185,sub-dalmatian-1.jpg,TRUE,6749,B,contrast,animal,critical,sub
784848ef36a059884752e86bd5592185,contrast-corgi-2.jpg,TRUE,7449,B,contrast,animal,critical,contrast
784848ef36a059884752e86bd5592185,contrast-corgi-2.jpg,FALSE,8075,B,contrast,animal,critical,contrast
784848ef36a059884752e86bd5592185,sub-trex-2.jpg,TRUE,3987,B,single,beast,critical,sub
784848ef36a059884752e86bd5592185,sub-trex-1.jpg,TRUE,4716,B,single,beast,critical,sub
784848ef36a059884752e86bd5592185,sub-smart_phone-2.jpg,TRUE,1402,B,contrast,electronics,critical,sub
784848ef36a059884752e86bd5592185,sub-smart_phone-1.jpg,TRUE,7222,B,contrast,electronics,critical,sub
784848ef36a059884752e86bd5592185,sub-red_apple-2.jpg,TRUE,1860,B,single,fruit,critical,sub
784848ef36a059884752e86bd5592185,basic-apple-2.jpg,TRUE,2617,B,single,fruit,critical,basic
784848ef36a059884752e86bd5592185,contrast-green_apple-2.jpg,TRUE,3471,B,single,fruit,critical,basic
784848ef36a059884752e86bd5592185,basic-apple-1.jpg,TRUE,4294,B,single,fruit,critical,basic
784848ef36a059884752e86bd5592185,sub-red_apple-1.jpg,TRUE,4833,B,single,fruit,critical,sub
784848ef36a059884752e86bd5592185,contrast-green_apple-1.jpg,TRUE,5466,B,single,fruit,critical,basic
784848ef36a059884752e86bd5592185,basic-apple-3.jpg,TRUE,6065,B,single,fruit,critical,basic
784848ef36a059884752e86bd5592185,sub-wooden_chair-2.jpg,TRUE,791,B,contrast,furniture,critical,sub
784848ef36a059884752e86bd5592185,sub-wooden_chair-1.jpg,TRUE,2476,B,contrast,furniture,critical,sub
784848ef36a059884752e86bd5592185,contrast-desk_lamp-1.jpg,TRUE,1560,B,single,light,critical,basic
784848ef36a059884752e86bd5592185,sub-gooseneck_lamp-1.jpg,TRUE,2197,B,single,light,critical,sub
784848ef36a059884752e86bd5592185,sub-gooseneck_lamp-2.jpg,TRUE,2907,B,single,light,critical,sub
784848ef36a059884752e86bd5592185,basic-lamp-2.jpg,TRUE,4681,B,single,light,critical,basic
784848ef36a059884752e86bd5592185,contrast-desk_lamp-2.jpg,TRUE,6009,B,single,light,critical,basic
784848ef36a059884752e86bd5592185,basic-lamp-3.jpg,TRUE,7194,B,single,light,critical,basic
784848ef36a059884752e86bd5592185,basic-lamp-1.jpg,TRUE,8295,B,single,light,critical,basic
