participant,group,condition,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,uncodeable,sub_only,basic_gen,strict_basic_gen
5ab45ca0d6e1938e5afea5031a0e8bb4,D,contrast,animal,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
5ab45ca0d6e1938e5afea5031a0e8bb4,D,contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
5ab45ca0d6e1938e5afea5031a0e8bb4,D,single,electronics,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
5ab45ca0d6e1938e5afea5031a0e8bb4,D,single,fruit,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
5ab45ca0d6e1938e5afea5031a0e8bb4,D,contrast,furniture,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
5ab45ca0d6e1938e5afea5031a0e8bb4,D,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
5ab45ca0d6e1938e5afea5031a0e8bb4,D,single,vegetable,0.6,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
5ab45ca0d6e1938e5afea5031a0e8bb4,D,single,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
b1c1994160b2cb0dd33663c00cb78cad,A,single,animal,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
b1c1994160b2cb0dd33663c00cb78cad,A,contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
b1c1994160b2cb0dd33663c00cb78cad,A,single,electronics,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
b1c1994160b2cb0dd33663c00cb78cad,A,contrast,fruit,0.6666666666666666,1,0,0,0,FALSE,FALSE,FALSE,FALSE
b1c1994160b2cb0dd33663c00cb78cad,A,single,furniture,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
b1c1994160b2cb0dd33663c00cb78cad,A,contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
b1c1994160b2cb0dd33663c00cb78cad,A,single,vegetable,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
b1c1994160b2cb0dd33663c00cb78cad,A,contrast,vehicle,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE
33e9b6e30588abb3e2f4491fdc571e8c,B,contrast,animal,0,0.5,0.5,0,0,FALSE,FALSE,FALSE,FALSE
33e9b6e30588abb3e2f4491fdc571e8c,B,single,beast,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE
33e9b6e30588abb3e2f4491fdc571e8c,B,contrast,electronics,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE
33e9b6e30588abb3e2f4491fdc571e8c,B,single,fruit,0.8,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
33e9b6e30588abb3e2f4491fdc571e8c,B,contrast,furniture,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE
33e9b6e30588abb3e2f4491fdc571e8c,B,single,light,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
33e9b6e30588abb3e2f4491fdc571e8c,B,contrast,vegetable,1,1,1,0,0,FALSE,FALSE,TRUE,TRUE
33e9b6e30588abb3e2f4491fdc571e8c,B,single,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE
bfe4b7cc17e52de65731f6f1973d1695,C,single,animal,0.8,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
bfe4b7cc17e52de65731f6f1973d1695,C,single,beast,0.8,NA,1,0,0,FALSE,FALSE,TRUE,FALSE
