participant,img,selected,time,group,labelled,target,item,trial,type
b1a2baf781e2a69885b0c8874c6ef04b,sub-dalmatian-2.jpg,TRUE,4482,D,FALSE,label2,animal,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sub-dalmatian-1.jpg,TRUE,5038,D,FALSE,label2,animal,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sub-trex-1.jpg,TRUE,1157,D,TRUE,label2,beast,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sub-trex-2.jpg,TRUE,1926,D,TRUE,label2,beast,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sub-smart_phone-1.jpg,TRUE,2284,D,FALSE,label1,electronics,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sub-smart_phone-2.jpg,TRUE,3773,D,FALSE,label1,electronics,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sub-red_apple-1.jpg,TRUE,193631,D,TRUE,label1,fruit,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sub-red_apple-2.jpg,TRUE,193846,D,TRUE,label1,fruit,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sup-vegetable-5.jpg,TRUE,984,D,FALSE,label2,furniture,critical,other
b1a2baf781e2a69885b0c8874c6ef04b,sup-vegetable-5.jpg,FALSE,2287,D,FALSE,label2,furniture,critical,other
b1a2baf781e2a69885b0c8874c6ef04b,sub-wooden_chair-2.jpg,TRUE,2557,D,FALSE,label2,furniture,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sub-wooden_chair-1.jpg,TRUE,3164,D,FALSE,label2,furniture,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,contrast-desk_lamp-2.jpg,TRUE,11945,D,TRUE,label2,light,critical,contrast
b1a2baf781e2a69885b0c8874c6ef04b,contrast-desk_lamp-2.jpg,FALSE,12423,D,TRUE,label2,light,critical,contrast
b1a2baf781e2a69885b0c8874c6ef04b,sub-gooseneck_lamp-2.jpg,TRUE,13032,D,TRUE,label2,light,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sub-gooseneck_lamp-1.jpg,TRUE,13820,D,TRUE,label2,light,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sub-green_pepper-1.jpg,TRUE,7407,D,FALSE,label1,vegetable,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sub-green_pepper-2.jpg,TRUE,7893,D,FALSE,label1,vegetable,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sub-racecar-2.jpg,TRUE,27870,D,TRUE,label1,vehicle,critical,sub
b1a2baf781e2a69885b0c8874c6ef04b,sub-racecar-1.jpg,TRUE,29044,D,TRUE,label1,vehicle,critical,sub
