participant,group,labelled,target,item,trial,basic_n,contrast_n,sub_n,sup_n,other_n,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,coding
c0f4d1afd9d1cc00a8f683f2284eadc4,B,FALSE,label2,animal,critical,3,2,2,1,0,1,1,1,0.2,0,Other
c0f4d1afd9d1cc00a8f683f2284eadc4,B,FALSE,label1,beast,critical,3,2,2,2,0,1,1,1,0.4,0,Other
c0f4d1afd9d1cc00a8f683f2284eadc4,B,TRUE,label2,electronics,critical,0,0,1,0,0,0,0,0.5,0,0,Other
c0f4d1afd9d1cc00a8f683f2284eadc4,B,TRUE,label1,fruit,critical,0,1,0,2,0,0,0.5,0,0.4,0,Other
c0f4d1afd9d1cc00a8f683f2284eadc4,B,FALSE,label2,furniture,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
c0f4d1afd9d1cc00a8f683f2284eadc4,B,FALSE,label1,light,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
c0f4d1afd9d1cc00a8f683f2284eadc4,B,TRUE,label2,vegetable,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
c0f4d1afd9d1cc00a8f683f2284eadc4,B,TRUE,label1,vehicle,critical,0,2,0,0,0,0,1,0,0,0,Other
b423dc04379c46ece861d12beeb3b62e,C,TRUE,label1,animal,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
b423dc04379c46ece861d12beeb3b62e,C,FALSE,label1,beast,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
b423dc04379c46ece861d12beeb3b62e,C,TRUE,label2,electronics,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
b423dc04379c46ece861d12beeb3b62e,C,FALSE,label2,fruit,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
b423dc04379c46ece861d12beeb3b62e,C,TRUE,label1,furniture,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
b423dc04379c46ece861d12beeb3b62e,C,FALSE,label1,light,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
b423dc04379c46ece861d12beeb3b62e,C,TRUE,label2,vegetable,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
b423dc04379c46ece861d12beeb3b62e,C,FALSE,label2,vehicle,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
04ac69ff925d3929ad20bb53cdb584d1,A,TRUE,label1,animal,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
04ac69ff925d3929ad20bb53cdb584d1,A,TRUE,label2,beast,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
04ac69ff925d3929ad20bb53cdb584d1,A,FALSE,label1,electronics,critical,3,2,2,0,0,1,1,1,0,0,Basic
04ac69ff925d3929ad20bb53cdb584d1,A,FALSE,label2,fruit,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
04ac69ff925d3929ad20bb53cdb584d1,A,TRUE,label1,furniture,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
04ac69ff925d3929ad20bb53cdb584d1,A,TRUE,label2,light,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
04ac69ff925d3929ad20bb53cdb584d1,A,FALSE,label1,vegetable,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
04ac69ff925d3929ad20bb53cdb584d1,A,FALSE,label2,vehicle,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
3945f62ca0da6d6a029f6c8869c2261e,B,FALSE,label2,animal,critical,3,2,2,0,0,1,1,1,0,0,Basic
3945f62ca0da6d6a029f6c8869c2261e,B,FALSE,label1,beast,critical,3,2,2,0,0,1,1,1,0,0,Basic
3945f62ca0da6d6a029f6c8869c2261e,B,TRUE,label2,electronics,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
3945f62ca0da6d6a029f6c8869c2261e,B,TRUE,label1,fruit,critical,1,0,2,0,0,0.3333333333333333,0,1,0,0,Subordinate
3945f62ca0da6d6a029f6c8869c2261e,B,FALSE,label2,furniture,critical,3,2,2,0,0,1,1,1,0,0,Basic
3945f62ca0da6d6a029f6c8869c2261e,B,FALSE,label1,light,critical,0,2,2,0,0,0,1,1,0,0,Basic
3945f62ca0da6d6a029f6c8869c2261e,B,TRUE,label2,vegetable,critical,0,0,2,0,0,0,0,1,0,0,Subordinate
3945f62ca0da6d6a029f6c8869c2261e,B,TRUE,label1,vehicle,critical,3,0,1,0,0,1,0,0.5,0,0,Other
