participant,img,selected,time,group,number,target,item,trial,type
35b1cd3fa69612a78713073ae48ab5f5,contrast-corgi-1.jpg,TRUE,1976,B,one,label2,animal,critical,sub
35b1cd3fa69612a78713073ae48ab5f5,contrast-corgi-2.jpg,TRUE,2503,B,one,label2,animal,critical,sub
35b1cd3fa69612a78713073ae48ab5f5,sub-trex-1.jpg,TRUE,4543,B,three,label1,beast,critical,sub
35b1cd3fa69612a78713073ae48ab5f5,sub-trex-2.jpg,TRUE,5296,B,three,label1,beast,critical,sub
35b1cd3fa69612a78713073ae48ab5f5,basic-dinosaur-2.jpg,TRUE,6931,B,three,label1,beast,critical,basic
35b1cd3fa69612a78713073ae48ab5f5,basic-dinosaur-3.jpg,TRUE,7660,B,three,label1,beast,critical,basic
35b1cd3fa69612a78713073ae48ab5f5,contrast-flip_phone-1.jpg,TRUE,2805,B,one,label2,electronics,critical,sub
35b1cd3fa69612a78713073ae48ab5f5,sub-smart_phone-2.jpg,TRUE,3184,B,one,label2,electronics,critical,contrast
35b1cd3fa69612a78713073ae48ab5f5,contrast-flip_phone-2.jpg,TRUE,4424,B,one,label2,electronics,critical,sub
35b1cd3fa69612a78713073ae48ab5f5,sub-smart_phone-1.jpg,TRUE,5849,B,one,label2,electronics,critical,contrast
35b1cd3fa69612a78713073ae48ab5f5,sub-red_apple-1.jpg,TRUE,1356,B,three,label1,fruit,critical,sub
35b1cd3fa69612a78713073ae48ab5f5,sub-red_apple-2.jpg,TRUE,2591,B,three,label1,fruit,critical,sub
35b1cd3fa69612a78713073ae48ab5f5,sub-wooden_chair-2.jpg,TRUE,3538,B,one,label2,furniture,critical,contrast
35b1cd3fa69612a78713073ae48ab5f5,sub-wooden_chair-1.jpg,TRUE,6350,B,one,label2,furniture,critical,contrast
35b1cd3fa69612a78713073ae48ab5f5,basic-lamp-1.jpg,TRUE,2333,B,three,label1,light,critical,basic
35b1cd3fa69612a78713073ae48ab5f5,sub-gooseneck_lamp-1.jpg,TRUE,3573,B,three,label1,light,critical,sub
35b1cd3fa69612a78713073ae48ab5f5,sub-gooseneck_lamp-2.jpg,TRUE,4357,B,three,label1,light,critical,sub
35b1cd3fa69612a78713073ae48ab5f5,basic-lamp-2.jpg,TRUE,5395,B,three,label1,light,critical,basic
35b1cd3fa69612a78713073ae48ab5f5,contrast-red_pepper-1.jpg,TRUE,3756,B,one,label2,vegetable,critical,sub
35b1cd3fa69612a78713073ae48ab5f5,contrast-red_pepper-2.jpg,TRUE,4485,B,one,label2,vegetable,critical,sub
35b1cd3fa69612a78713073ae48ab5f5,sub-green_pepper-1.jpg,TRUE,5959,B,one,label2,vegetable,critical,contrast
35b1cd3fa69612a78713073ae48ab5f5,basic-pepper-3.jpg,TRUE,6962,B,one,label2,vegetable,critical,basic
35b1cd3fa69612a78713073ae48ab5f5,basic-pepper-2.jpg,TRUE,7740,B,one,label2,vegetable,critical,basic
35b1cd3fa69612a78713073ae48ab5f5,contrast-van-2.jpg,TRUE,77179,B,three,label1,vehicle,critical,contrast
35b1cd3fa69612a78713073ae48ab5f5,contrast-van-1.jpg,TRUE,77503,B,three,label1,vehicle,critical,contrast
35b1cd3fa69612a78713073ae48ab5f5,basic-car-2.jpg,TRUE,78888,B,three,label1,vehicle,critical,basic
501d43e975b2625c319f97a5ea83432b,sup-animal-1.jpg,TRUE,5644,C,three,label1,animal,critical,sup
501d43e975b2625c319f97a5ea83432b,sup-animal-1.jpg,FALSE,6581,C,three,label1,animal,critical,sup
501d43e975b2625c319f97a5ea83432b,sup-animal-1.jpg,TRUE,10253,C,three,label1,animal,critical,sup
501d43e975b2625c319f97a5ea83432b,sup-animal-1.jpg,FALSE,11044,C,three,label1,animal,critical,sup
501d43e975b2625c319f97a5ea83432b,sub-dalmatian-1.jpg,TRUE,17295,C,three,label1,animal,critical,sub
501d43e975b2625c319f97a5ea83432b,sub-dalmatian-2.jpg,TRUE,17706,C,three,label1,animal,critical,sub
501d43e975b2625c319f97a5ea83432b,contrast-triceratops-1.jpg,TRUE,2341,C,one,label2,beast,critical,sub
501d43e975b2625c319f97a5ea83432b,contrast-triceratops-2.jpg,TRUE,4977,C,one,label2,beast,critical,sub
501d43e975b2625c319f97a5ea83432b,sub-smart_phone-1.jpg,TRUE,3161,C,three,label1,electronics,critical,sub
501d43e975b2625c319f97a5ea83432b,contrast-green_apple-1.jpg,TRUE,1725,C,one,label2,fruit,critical,sub
501d43e975b2625c319f97a5ea83432b,contrast-green_apple-2.jpg,TRUE,2146,C,one,label2,fruit,critical,sub
501d43e975b2625c319f97a5ea83432b,basic-apple-1.jpg,TRUE,3310,C,one,label2,fruit,critical,basic
501d43e975b2625c319f97a5ea83432b,basic-apple-2.jpg,TRUE,8606,C,one,label2,fruit,critical,basic
501d43e975b2625c319f97a5ea83432b,sub-wooden_chair-1.jpg,TRUE,2172,C,three,label1,furniture,critical,sub
501d43e975b2625c319f97a5ea83432b,sub-wooden_chair-2.jpg,TRUE,2705,C,three,label1,furniture,critical,sub
501d43e975b2625c319f97a5ea83432b,sub-gooseneck_lamp-2.jpg,TRUE,3250,C,one,label2,light,critical,contrast
501d43e975b2625c319f97a5ea83432b,sub-gooseneck_lamp-2.jpg,FALSE,4269,C,one,label2,light,critical,contrast
501d43e975b2625c319f97a5ea83432b,contrast-desk_lamp-1.jpg,TRUE,4640,C,one,label2,light,critical,sub
501d43e975b2625c319f97a5ea83432b,contrast-desk_lamp-2.jpg,TRUE,5101,C,one,label2,light,critical,sub
501d43e975b2625c319f97a5ea83432b,sub-green_pepper-2.jpg,TRUE,1162,C,three,label1,vegetable,critical,sub
501d43e975b2625c319f97a5ea83432b,sub-green_pepper-1.jpg,TRUE,1825,C,three,label1,vegetable,critical,sub
501d43e975b2625c319f97a5ea83432b,contrast-van-1.jpg,TRUE,1669,C,one,label2,vehicle,critical,sub
501d43e975b2625c319f97a5ea83432b,contrast-van-2.jpg,TRUE,2760,C,one,label2,vehicle,critical,sub
32ba17f103f1bd62e52fae34c440b830,contrast-corgi-2.jpg,TRUE,4396,D,three,label2,animal,critical,sub
32ba17f103f1bd62e52fae34c440b830,contrast-corgi-1.jpg,TRUE,5761,D,three,label2,animal,critical,sub
32ba17f103f1bd62e52fae34c440b830,sub-trex-1.jpg,TRUE,2992,D,one,label1,beast,critical,sub
32ba17f103f1bd62e52fae34c440b830,sub-trex-2.jpg,TRUE,8151,D,one,label1,beast,critical,sub
32ba17f103f1bd62e52fae34c440b830,contrast-flip_phone-1.jpg,TRUE,3251,D,three,label2,electronics,critical,sub
32ba17f103f1bd62e52fae34c440b830,contrast-flip_phone-2.jpg,TRUE,4079,D,three,label2,electronics,critical,sub
32ba17f103f1bd62e52fae34c440b830,contrast-green_apple-1.jpg,TRUE,3550,D,one,label1,fruit,critical,contrast
32ba17f103f1bd62e52fae34c440b830,contrast-green_apple-1.jpg,FALSE,6687,D,one,label1,fruit,critical,contrast
32ba17f103f1bd62e52fae34c440b830,contrast-green_apple-1.jpg,TRUE,7587,D,one,label1,fruit,critical,contrast
32ba17f103f1bd62e52fae34c440b830,contrast-green_apple-2.jpg,TRUE,8472,D,one,label1,fruit,critical,contrast
32ba17f103f1bd62e52fae34c440b830,contrast-office_chair-2.jpg,TRUE,2746,D,three,label2,furniture,critical,sub
32ba17f103f1bd62e52fae34c440b830,contrast-office_chair-1.jpg,TRUE,3379,D,three,label2,furniture,critical,sub
32ba17f103f1bd62e52fae34c440b830,sub-gooseneck_lamp-2.jpg,TRUE,3294,D,one,label1,light,critical,sub
32ba17f103f1bd62e52fae34c440b830,contrast-red_pepper-2.jpg,TRUE,2618,D,three,label2,vegetable,critical,sub
32ba17f103f1bd62e52fae34c440b830,contrast-red_pepper-1.jpg,TRUE,3843,D,three,label2,vegetable,critical,sub
32ba17f103f1bd62e52fae34c440b830,basic-car-2.jpg,TRUE,5895,D,one,label1,vehicle,critical,basic
32ba17f103f1bd62e52fae34c440b830,basic-car-3.jpg,TRUE,7464,D,one,label1,vehicle,critical,basic
32ba17f103f1bd62e52fae34c440b830,basic-car-3.jpg,FALSE,13317,D,one,label1,vehicle,critical,basic
9850060ab672035be0ddedf7f90194e0,sub-dalmatian-1.jpg,TRUE,8411,A,one,label1,animal,critical,sub
9850060ab672035be0ddedf7f90194e0,sub-dalmatian-2.jpg,TRUE,9281,A,one,label1,animal,critical,sub
9850060ab672035be0ddedf7f90194e0,basic-dinosaur-1.jpg,TRUE,5661,A,three,label2,beast,critical,basic
9850060ab672035be0ddedf7f90194e0,contrast-triceratops-1.jpg,TRUE,6380,A,three,label2,beast,critical,sub
9850060ab672035be0ddedf7f90194e0,contrast-triceratops-2.jpg,TRUE,8675,A,three,label2,beast,critical,sub
