participant,group,condition,number,target,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,coding,fill
b653d2a47f17be3ad77e513f30dc45bf,A,one-first,one,first,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
b653d2a47f17be3ad77e513f30dc45bf,A,three-second,three,second,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
b653d2a47f17be3ad77e513f30dc45bf,A,one-second,one,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
b653d2a47f17be3ad77e513f30dc45bf,A,three-first,three,first,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
b653d2a47f17be3ad77e513f30dc45bf,A,one-first,one,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
b653d2a47f17be3ad77e513f30dc45bf,A,three-second,three,second,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
b653d2a47f17be3ad77e513f30dc45bf,A,one-second,one,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
b653d2a47f17be3ad77e513f30dc45bf,A,three-first,three,first,vehicle,0,0,0.5,0,0,Uncodeable,grey
2f7434e748f5cd9f4832fd14a076b1cf,D,three-second,three,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
2f7434e748f5cd9f4832fd14a076b1cf,D,one-first,one,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
2f7434e748f5cd9f4832fd14a076b1cf,D,three-first,three,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
2f7434e748f5cd9f4832fd14a076b1cf,D,one-second,one,second,fruit,0.6666666666666666,0,1,0,0,broad subordinate,#CC4D06FF
2f7434e748f5cd9f4832fd14a076b1cf,D,three-second,three,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
2f7434e748f5cd9f4832fd14a076b1cf,D,one-first,one,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
2f7434e748f5cd9f4832fd14a076b1cf,D,three-first,three,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
2f7434e748f5cd9f4832fd14a076b1cf,D,one-second,one,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
ee248a97b27ba43dc33086c5513f0a6a,B,one-second,one,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
ee248a97b27ba43dc33086c5513f0a6a,B,three-first,three,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
ee248a97b27ba43dc33086c5513f0a6a,B,one-first,one,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
ee248a97b27ba43dc33086c5513f0a6a,B,three-second,three,second,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
ee248a97b27ba43dc33086c5513f0a6a,B,one-second,one,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
ee248a97b27ba43dc33086c5513f0a6a,B,three-first,three,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
ee248a97b27ba43dc33086c5513f0a6a,B,one-first,one,first,vegetable,1,1,0,0,0,Uncodeable,grey
ee248a97b27ba43dc33086c5513f0a6a,B,three-second,three,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
e82dad53f7b79382e0a9980e979d8e4f,D,three-second,three,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
e82dad53f7b79382e0a9980e979d8e4f,D,one-first,one,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
e82dad53f7b79382e0a9980e979d8e4f,D,three-first,three,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
e82dad53f7b79382e0a9980e979d8e4f,D,one-second,one,second,fruit,0.6666666666666666,0,1,0,0,broad subordinate,#CC4D06FF
e82dad53f7b79382e0a9980e979d8e4f,D,three-second,three,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
e82dad53f7b79382e0a9980e979d8e4f,D,one-first,one,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
e82dad53f7b79382e0a9980e979d8e4f,D,three-first,three,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
e82dad53f7b79382e0a9980e979d8e4f,D,one-second,one,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
c7b3720d8f06c94a4e18a03b8ccb1e53,A,one-first,one,first,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
c7b3720d8f06c94a4e18a03b8ccb1e53,A,three-second,three,second,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
c7b3720d8f06c94a4e18a03b8ccb1e53,A,one-second,one,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
c7b3720d8f06c94a4e18a03b8ccb1e53,A,three-first,three,first,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
c7b3720d8f06c94a4e18a03b8ccb1e53,A,one-first,one,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
c7b3720d8f06c94a4e18a03b8ccb1e53,A,three-second,three,second,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
c7b3720d8f06c94a4e18a03b8ccb1e53,A,one-second,one,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
c7b3720d8f06c94a4e18a03b8ccb1e53,A,three-first,three,first,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
9a37a9529faf5106cffd32471c5cd20d,B,one-second,one,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
9a37a9529faf5106cffd32471c5cd20d,B,three-first,three,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
9a37a9529faf5106cffd32471c5cd20d,B,one-first,one,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
9a37a9529faf5106cffd32471c5cd20d,B,three-second,three,second,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
9a37a9529faf5106cffd32471c5cd20d,B,one-second,one,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
9a37a9529faf5106cffd32471c5cd20d,B,three-first,three,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
9a37a9529faf5106cffd32471c5cd20d,B,one-first,one,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
9a37a9529faf5106cffd32471c5cd20d,B,three-second,three,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
4369fd65d3aeb48b375893f363b3e534,C,three-first,three,first,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
4369fd65d3aeb48b375893f363b3e534,C,one-second,one,second,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
4369fd65d3aeb48b375893f363b3e534,C,three-second,three,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
4369fd65d3aeb48b375893f363b3e534,C,one-first,one,first,fruit,0.3333333333333333,0,1,0,0,broad subordinate,#CC4D06FF
4369fd65d3aeb48b375893f363b3e534,C,three-first,three,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
