participant,group,condition,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,uncodeable,sub_only,basic_gen,strict_basic_gen,coding,fill
5ab45ca0d6e1938e5afea5031a0e8bb4,D,Contrast,animal,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
5ab45ca0d6e1938e5afea5031a0e8bb4,D,Contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
5ab45ca0d6e1938e5afea5031a0e8bb4,D,No Contrast,electronics,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
5ab45ca0d6e1938e5afea5031a0e8bb4,D,No Contrast,fruit,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
5ab45ca0d6e1938e5afea5031a0e8bb4,D,Contrast,furniture,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
5ab45ca0d6e1938e5afea5031a0e8bb4,D,Contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
5ab45ca0d6e1938e5afea5031a0e8bb4,D,No Contrast,vegetable,0.6,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
5ab45ca0d6e1938e5afea5031a0e8bb4,D,No Contrast,vehicle,0,NA,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
b1c1994160b2cb0dd33663c00cb78cad,A,No Contrast,animal,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
b1c1994160b2cb0dd33663c00cb78cad,A,Contrast,beast,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
b1c1994160b2cb0dd33663c00cb78cad,A,No Contrast,electronics,0.4,NA,1,0,0,FALSE,FALSE,TRUE,FALSE,basic,#44889CFF
b1c1994160b2cb0dd33663c00cb78cad,A,Contrast,fruit,0.6666666666666666,1,0,0,0,FALSE,FALSE,FALSE,FALSE,other,grey
b1c1994160b2cb0dd33663c00cb78cad,A,No Contrast,furniture,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
b1c1994160b2cb0dd33663c00cb78cad,A,Contrast,light,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,narrow subordinate,#E1AF00FF
b1c1994160b2cb0dd33663c00cb78cad,A,No Contrast,vegetable,1,NA,1,0,0,FALSE,FALSE,TRUE,TRUE,basic,#44889CFF
b1c1994160b2cb0dd33663c00cb78cad,A,Contrast,vehicle,1,0,1,0,0,FALSE,FALSE,FALSE,FALSE,broad subordinate,#CC4D06FF
