domain,kind,number,type,category,id,path
animal,natural,3,basic,dog,NA,animal/basic-dog/3basic-dog.jpg
animal,natural,NA,basic,dog,1,animal/basic-dog/basic-dog-1.jpg
animal,natural,NA,basic,dog,2,animal/basic-dog/basic-dog-2.jpg
animal,natural,NA,basic,dog,3,animal/basic-dog/basic-dog-3.jpg
animal,natural,1,contrast,corgi,NA,animal/basic-dog/contrast-corgi/1contrast-corgi.jpg
animal,natural,3,contrast,corgi,NA,animal/basic-dog/contrast-corgi/3contrast-corgi.jpg
animal,natural,NA,contrast,corgi,1,animal/basic-dog/contrast-corgi/contrast-corgi-1.jpg
animal,natural,NA,contrast,corgi,2,animal/basic-dog/contrast-corgi/contrast-corgi-2.jpg
animal,natural,1,sub,dalmatian,NA,animal/basic-dog/sub-dalmatian/1sub-dalmatian.jpg
animal,natural,3,sub,dalmatian,NA,animal/basic-dog/sub-dalmatian/3sub-dalmatian.jpg
animal,natural,NA,sub,dalmatian,1,animal/basic-dog/sub-dalmatian/sub-dalmatian-1.jpg
animal,natural,NA,sub,dalmatian,2,animal/basic-dog/sub-dalmatian/sub-dalmatian-2.jpg
animal,natural,NA,sup,animal,1,animal/sup-animal-1.jpg
animal,natural,NA,sup,animal,2,animal/sup-animal-2.jpg
animal,natural,NA,sup,animal,3,animal/sup-animal-3.jpg
animal,natural,NA,sup,animal,4,animal/sup-animal-4.jpg
animal,natural,NA,sup,animal,5,animal/sup-animal-5.jpg
beast,natural,3,basic,dinosaur,NA,beast/basic-dinosaur/3basic-dinosaur.jpg
beast,natural,NA,basic,dinosaur,1,beast/basic-dinosaur/basic-dinosaur-1.jpg
beast,natural,NA,basic,dinosaur,2,beast/basic-dinosaur/basic-dinosaur-2.jpg
beast,natural,NA,basic,dinosaur,3,beast/basic-dinosaur/basic-dinosaur-3.jpg
beast,natural,1,contrast,triceratops,NA,beast/basic-dinosaur/contrast-triceratops/1contrast-triceratops.jpg
beast,natural,3,contrast,triceratops,NA,beast/basic-dinosaur/contrast-triceratops/3contrast-triceratops.jpg
beast,natural,NA,contrast,triceratops,1,beast/basic-dinosaur/contrast-triceratops/contrast-triceratops-1.jpg
beast,natural,NA,contrast,triceratops,2,beast/basic-dinosaur/contrast-triceratops/contrast-triceratops-2.jpg
beast,natural,1,sub,trex,NA,beast/basic-dinosaur/sub-trex/1sub-trex.jpg
beast,natural,3,sub,trex,NA,beast/basic-dinosaur/sub-trex/3sub-trex.jpg
beast,natural,NA,sub,trex,1,beast/basic-dinosaur/sub-trex/sub-trex-1.jpg
beast,natural,NA,sub,trex,2,beast/basic-dinosaur/sub-trex/sub-trex-2.jpg
beast,natural,NA,sup,beast,1,beast/sup-beast-1.jpg
beast,natural,NA,sup,beast,2,beast/sup-beast-2.jpg
beast,natural,NA,sup,beast,3,beast/sup-beast-3.jpg
beast,natural,NA,sup,beast,4,beast/sup-beast-4.jpg
beast,natural,NA,sup,beast,5,beast/sup-beast-5.jpg
electronics,artificial,3,basic,phone,NA,electronics/basic-phone/3basic-phone.jpg
electronics,artificial,NA,basic,phone,1,electronics/basic-phone/basic-phone-1.jpg
electronics,artificial,NA,basic,phone,2,electronics/basic-phone/basic-phone-2.jpg
electronics,artificial,NA,basic,phone,3,electronics/basic-phone/basic-phone-3.jpg
electronics,artificial,1,contrast,flip_phone,NA,electronics/basic-phone/contrast-flip_phone/1contrast-flip_phone.jpg
electronics,artificial,3,contrast,flip_phone,NA,electronics/basic-phone/contrast-flip_phone/3contrast-flip_phone.jpg
electronics,artificial,NA,contrast,flip_phone,1,electronics/basic-phone/contrast-flip_phone/contrast-flip_phone-1.jpg
electronics,artificial,NA,contrast,flip_phone,2,electronics/basic-phone/contrast-flip_phone/contrast-flip_phone-2.jpg
electronics,artificial,1,sub,smart_phone,NA,electronics/basic-phone/sub-smart_phone/1sub-smart_phone.jpg
electronics,artificial,3,sub,smart_phone,NA,electronics/basic-phone/sub-smart_phone/3sub-smart_phone.jpg
electronics,artificial,NA,sub,smart_phone,1,electronics/basic-phone/sub-smart_phone/sub-smart_phone-1.jpg
electronics,artificial,NA,sub,smart_phone,2,electronics/basic-phone/sub-smart_phone/sub-smart_phone-2.jpg
electronics,artificial,NA,sup,electronics,1,electronics/sup-electronics-1.jpg
electronics,artificial,NA,sup,electronics,2,electronics/sup-electronics-2.jpg
electronics,artificial,NA,sup,electronics,3,electronics/sup-electronics-3.jpg
electronics,artificial,NA,sup,electronics,4,electronics/sup-electronics-4.jpg
electronics,artificial,NA,sup,electronics,5,electronics/sup-electronics-5.jpg
fruit,natural,3,basic,apple,NA,fruit/basic-apple/3basic-apple.jpg
fruit,natural,NA,basic,apple,1,fruit/basic-apple/basic-apple-1.jpg
fruit,natural,NA,basic,apple,2,fruit/basic-apple/basic-apple-2.jpg
fruit,natural,NA,basic,apple,3,fruit/basic-apple/basic-apple-3.jpg
fruit,natural,1,contrast,green_apple,NA,fruit/basic-apple/contrast-green_apple/1contrast-green_apple.jpg
fruit,natural,3,contrast,green_apple,NA,fruit/basic-apple/contrast-green_apple/3contrast-green_apple.jpg
fruit,natural,NA,contrast,green_apple,1,fruit/basic-apple/contrast-green_apple/contrast-green_apple-1.jpg
fruit,natural,NA,contrast,green_apple,2,fruit/basic-apple/contrast-green_apple/contrast-green_apple-2.jpg
fruit,natural,1,sub,red_apple,NA,fruit/basic-apple/sub-red_apple/1sub-red_apple.jpg
fruit,natural,3,sub,red_apple,NA,fruit/basic-apple/sub-red_apple/3sub-red_apple.jpg
fruit,natural,NA,sub,red_apple,1,fruit/basic-apple/sub-red_apple/sub-red_apple-1.jpg
fruit,natural,NA,sub,red_apple,2,fruit/basic-apple/sub-red_apple/sub-red_apple-2.jpg
fruit,natural,NA,sup,fruit,1,fruit/sup-fruit-1.jpg
fruit,natural,NA,sup,fruit,2,fruit/sup-fruit-2.jpg
fruit,natural,NA,sup,fruit,3,fruit/sup-fruit-3.jpg
fruit,natural,NA,sup,fruit,4,fruit/sup-fruit-4.jpg
fruit,natural,NA,sup,fruit,5,fruit/sup-fruit-5.jpg
furniture,artificial,3,basic,chair,NA,furniture/basic-chair/3basic-chair.jpg
furniture,artificial,NA,basic,chair,1,furniture/basic-chair/basic-chair-1.jpg
furniture,artificial,NA,basic,chair,2,furniture/basic-chair/basic-chair-2.jpg
furniture,artificial,NA,basic,chair,3,furniture/basic-chair/basic-chair-3.jpg
furniture,artificial,1,contrast,office_chair,NA,furniture/basic-chair/contrast-office_chair/1contrast-office_chair.jpg
furniture,artificial,3,contrast,office_chair,NA,furniture/basic-chair/contrast-office_chair/3contrast-office_chair.jpg
furniture,artificial,NA,contrast,office_chair,1,furniture/basic-chair/contrast-office_chair/contrast-office_chair-1.jpg
furniture,artificial,NA,contrast,office_chair,2,furniture/basic-chair/contrast-office_chair/contrast-office_chair-2.jpg
furniture,artificial,1,sub,wooden_chair,NA,furniture/basic-chair/sub-wooden-chair/1sub-wooden_chair.jpg
furniture,artificial,3,sub,wooden_chair,NA,furniture/basic-chair/sub-wooden-chair/3sub-wooden_chair.jpg
furniture,artificial,NA,sub,wooden_chair,1,furniture/basic-chair/sub-wooden-chair/sub-wooden_chair-1.jpg
furniture,artificial,NA,sub,wooden_chair,2,furniture/basic-chair/sub-wooden-chair/sub-wooden_chair-2.jpg
furniture,artificial,NA,sup,furniture,1,furniture/sup-furniture-1.jpg
furniture,artificial,NA,sup,furniture,2,furniture/sup-furniture-2.jpg
furniture,artificial,NA,sup,furniture,3,furniture/sup-furniture-3.jpg
furniture,artificial,NA,sup,furniture,4,furniture/sup-furniture-4.jpg
furniture,artificial,NA,sup,furniture,5,furniture/sup-furniture-5.jpg
light,artificial,3,basic,lamp,NA,light/lamp/3basic-lamp.jpg
light,artificial,NA,basic,lamp,1,light/lamp/basic-lamp-1.jpg
light,artificial,NA,basic,lamp,2,light/lamp/basic-lamp-2.jpg
light,artificial,NA,basic,lamp,3,light/lamp/basic-lamp-3.jpg
light,artificial,1,contrast,desk_lamp,NA,light/lamp/contrast-desk_lamp/1contrast-desk_lamp.jpg
light,artificial,3,contrast,desk_lamp,NA,light/lamp/contrast-desk_lamp/3contrast-desk_lamp.jpg
light,artificial,NA,contrast,desk_lamp,1,light/lamp/contrast-desk_lamp/contrast-desk_lamp-1.jpg
light,artificial,NA,contrast,desk_lamp,2,light/lamp/contrast-desk_lamp/contrast-desk_lamp-2.jpg
light,artificial,1,sub,gooseneck_lamp,NA,light/lamp/sub-gooseneck_lamp/1sub-gooseneck_lamp.jpg
light,artificial,3,sub,gooseneck_lamp,NA,light/lamp/sub-gooseneck_lamp/3sub-gooseneck_lamp.jpg
light,artificial,NA,sub,gooseneck_lamp,1,light/lamp/sub-gooseneck_lamp/sub-gooseneck_lamp-1.jpg
light,artificial,NA,sub,gooseneck_lamp,2,light/lamp/sub-gooseneck_lamp/sub-gooseneck_lamp-2.jpg
light,artificial,NA,sup,light,1,light/sup-light-1.jpg
light,artificial,NA,sup,light,2,light/sup-light-2.jpg
light,artificial,NA,sup,light,3,light/sup-light-3.jpg
light,artificial,NA,sup,light,4,light/sup-light-4.jpg
light,artificial,NA,sup,light,5,light/sup-light-5.jpg
planet,artificial,NA,sup,planet,1,planet/sup-planet-1.jpg
planet,artificial,NA,sup,planet,2,planet/sup-planet-2.jpg
planet,artificial,NA,sup,planet,3,planet/sup-planet-3.jpg
planet,artificial,NA,sup,planet,4,planet/sup-planet-4.jpg
planet,artificial,NA,sup,planet,5,planet/sup-planet-5.jpg
vegetable,natural,3,basic,pepper,NA,vegetable/basic-pepper/3basic-pepper.jpg
